# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0748956; -0.1528569; 0.0349893; 0.0799358; 6.4310783; 0.4791257
0.1999470; 1.0663060; 0.0469166; 0.0509402; 0.0796079; 6.4459574; 0.4653654
0.3998941; 1.0545386; 0.2465104; 0.0668258; 0.0792965; 6.4603765; 0.4518410
0.5998411; 1.0396077; 0.4458964; 0.0826618; 0.0792161; 6.4743457; 0.4295347
0.7997882; 1.0215198; 0.6450256; 0.0985164; 0.0793720; 6.4875975; 0.3985914
0.9997352; 1.0002757; 0.8438271; 0.1144029; 0.0795482; 6.4998704; 0.3685076
1.1996823; 0.9758694; 1.0422891; 0.1303289; 0.0797473; 6.5111965; 0.3391177
1.3996293; 0.9483040; 1.2403209; 0.1462955; 0.0799673; 6.5216018; 0.3104672
1.5995764; 0.9175751; 1.4378904; 0.1623084; 0.0802078; 6.5311136; 0.2825252
1.7995234; 0.8836811; 1.6349460; 0.1783719; 0.0804695; 6.5397572; 0.2552192
1.9994704; 0.8466241; 1.8314144; 0.1944885; 0.0807521; 6.5475557; 0.2285251
2.1994175; 0.8063948; 2.0272831; 0.2106657; 0.0810564; 6.5545306; 0.2023805
2.3993645; 0.7629999; 2.2224580; 0.2269045; 0.0813823; 6.5607013; 0.1767501
2.5993116; 0.7164341; 2.4169046; 0.2432110; 0.0817296; 6.5660859; 0.1516261
2.7992586; 0.6666958; 2.6105688; 0.2595896; 0.0820993; 6.5707015; 0.1269352
2.9992057; 0.6137897; 2.8033741; 0.2760429; 0.0824910; 6.5745630; 0.1026807
3.1991527; 0.5577038; 2.9953044; 0.2925787; 0.0829052; 6.5776850; 0.0788193
3.3990997; 0.4984490; 3.1862630; 0.3091984; 0.0833425; 6.5800805; 0.0553120
3.5990468; 0.4360192; 3.3762111; 0.3259080; 0.0838019; 6.5817610; 0.0321928
3.7989938; 0.3704139; 3.5650908; 0.3427122; 0.0842849; 6.5827389; 0.0093819
3.9989409; 0.3016407; 3.7528228; 0.3596140; 0.0847914; 6.5830239; -0.0131153
4.1988879; 0.2296861; 3.9393840; 0.3766215; 0.0853234; 6.5826255; -0.0353978
4.3988350; 0.1545650; 4.1246760; 0.3937366; 0.0858804; 6.5815502; -0.0574387
4.5987820; 0.0762721; 4.3086539; 0.4109658; 0.0864608; 6.5798050; -0.0791653
4.7987291; -0.0051913; 4.4912548; 0.4283138; 0.0870667; 6.5773989; -0.1006697
4.9986761; -0.0898149; 4.6723964; 0.4457843; 0.0876978; 6.5743379; -0.1219400
5.1986231; -0.1776109; 4.8520452; 0.4633858; 0.0883602; 6.5706283; -0.1432282
5.3985702; -0.2685609; 5.0301029; 0.4811214; 0.0890500; 6.5662683; -0.1643442
5.5985172; -0.3626680; 5.2065153; 0.4989979; 0.0897699; 6.5612621; -0.1853946
5.7984643; -0.4599281; 5.3812134; 0.5170223; 0.0905230; 6.5556099; -0.2064869
5.9984113; -0.5603282; 5.5541122; 0.5351989; 0.0913039; 6.5493090; -0.2273598
6.1983584; -0.6638764; 5.7251633; 0.5535371; 0.0921256; 6.5423642; -0.2485615
6.3983054; -0.7705523; 5.8942695; 0.5720418; 0.0929779; 6.5347632; -0.2695987
6.5982524; -0.8803544; 6.0613646; 0.5907202; 0.0938634; 6.5265090; -0.2905603
6.7981995; -0.9932745; 6.2263718; 0.6095798; 0.0947860; 6.5176013; -0.3115834
6.9981465; -1.1092973; 6.3892036; 0.6286263; 0.0957396; 6.5080355; -0.3323694
7.1980936; -1.2284183; 6.5497925; 0.6478262; 0.0963139; 6.4978160; -0.3355711
7.3980406; -1.3506074; 6.7080549; 0.6671440; 0.0969209; 6.4874818; -0.3397870
7.5979877; -1.4758380; 6.8639194; 0.6865352; 0.0965460; 6.4770010; -0.3023631
7.7979347; -1.6040538; 7.0173400; 0.7057039; 0.0951981; 6.4676602; -0.2267136
7.9978818; -1.7351692; 7.1682953; 0.7246067; 0.0938809; 6.4606476; -0.1574059
8.1978288; -1.8690872; 7.3167597; 0.7431931; 0.0920415; 6.4557743; -0.0708798
8.3977758; -2.0057193; 7.4627394; 0.7614151; 0.0902302; 6.4535786; 0.0089481
8.5977229; -2.1449611; 7.6062286; 0.7792788; 0.0884668; 6.4538558; 0.0818497
8.7976699; -2.2867181; 7.7472315; 0.7967945; 0.0867431; 6.4563911; 0.1487508
8.9976170; -2.4309059; 7.8857609; 0.8139689; 0.0850460; 6.4609961; 0.2106959
9.1975640; -2.5774179; 8.0218084; 0.8308078; 0.0833971; 6.4675132; 0.2672079
9.3975111; -2.7261862; 8.1554013; 0.8473199; 0.0817692; 6.4757688; 0.3198525
9.5974581; -2.8771160; 8.2865417; 0.8635092; 0.0801757; 6.4856371; 0.3683984
9.7974051; -3.0301270; 8.4152445; 0.8793830; 0.0786106; 6.4969846; 0.4134176
9.9973522; -3.1851516; 8.5415340; 0.8949469; 0.0770659; 6.5096953; 0.4555270
10.1972992; -3.3420890; 8.6654081; 0.9102040; 0.0755562; 6.5236719; 0.4943527
10.3972463; -3.5008905; 8.7869054; 0.9251619; 0.0740626; 6.5388060; 0.5309287
10.5971933; -3.6614706; 8.9060354; 0.9398230; 0.0725916; 6.5550209; 0.5651740
10.7971404; -3.8237606; 9.0228206; 0.9541917; 0.0711388; 6.5722377; 0.5974513
10.9970874; -3.9877064; 9.1372933; 0.9682725; 0.0697017; 6.5903889; 0.6280263
11.1970345; -4.1532150; 9.2494587; 0.9820658; 0.0682772; 6.6094153; 0.6571688
11.3969815; -4.3202509; 9.3593619; 0.9955765; 0.0668653; 6.6292660; 0.6849985
11.5969285; -4.4887381; 9.4670201; 1.0088060; 0.0654652; 6.6498944; 0.7116624
11.7968756; -4.6586176; 9.5724621; 1.0217561; 0.0640740; 6.6712581; 0.7373933
11.9968226; -4.8298448; 9.6757256; 1.0344300; 0.0626946; 6.6933223; 0.7621364
12.1967697; -5.0023371; 9.7768253; 1.0468276; 0.0613211; 6.7160507; 0.7862572
