HELLO MAP
Opened database successfully: sde
Opened database successfully: sde
Operation done successfully
Operation done successfully
x: 1.04279 y: 1.62066
x: 1.37693 y: 0.678139
x: 1.71437 y: -0.26321
x: 2.05508 y: -1.20338
x: 2.39908 y: -2.14234
x: 2.74636 y: -3.08011
x: 3.09691 y: -4.01665
x: 3.45074 y: -4.95196
x: 3.80782 y: -5.88603
x: 4.16817 y: -6.81885
x: 4.53177 y: -7.7504
x: 4.8988 y: -8.68061
x: 5.28708 y: -9.60215
x: 5.68244 y: -10.5207
x: 6.08486 y: -11.4361
x: 6.49432 y: -12.3485
x: 6.91078 y: -13.2576
x: 7.33423 y: -14.1635
x: 7.79412 y: -15.051
x: 8.34407 y: -15.8857
x: 8.97947 y: -16.6572
x: 9.70101 y: -17.3487
x: 10.5004 y: -17.9485
x: 11.3661 y: -18.4479
x: 12.2855 y: -18.8396
x: 13.2453 y: -19.1181
x: 14.2316 y: -19.2792
x: 15.2302 y: -19.3207
x: 16.2214 y: -19.2091
x: 17.2032 y: -19.0189
x: 18.1854 y: -18.831
x: 19.168 y: -18.6455
x: 20.1511 y: -18.4625
x: 21.1347 y: -18.2818
x: 22.1187 y: -18.1036
x: 23.1031 y: -17.9278
x: 24.0879 y: -17.7544
x: 25.0742 y: -17.59
x: 26.0654 y: -17.4572
x: 27.0565 y: -17.3245
x: 28.0477 y: -17.1918
x: 29.0388 y: -17.0591
x: 30.03 y: -16.9264
x: 31.0211 y: -16.7938
x: 32.0123 y: -16.6612
x: 33.0035 y: -16.5286
x: 33.9947 y: -16.3961
x: 34.9859 y: -16.2636
x: 35.977 y: -16.1311
x: 36.9682 y: -15.9987
x: 37.9594 y: -15.8662
x: 38.9517 y: -15.744
x: 39.9486 y: -15.6652
x: 40.9464 y: -15.5992
x: 41.945 y: -15.546
x: 42.9442 y: -15.5055
x: 43.9438 y: -15.4779
x: 44.9437 y: -15.4631
x: 45.9437 y: -15.4611
x: 46.9436 y: -15.4718
x: 47.9433 y: -15.4954
x: 48.9427 y: -15.5318
x: 49.9414 y: -15.581
x: 50.9395 y: -15.643
x: 51.9367 y: -15.7177
x: 52.9329 y: -15.8053
x: 53.9226 y: -15.9468
x: 54.9114 y: -16.0964
x: 55.8999 y: -16.2478
x: 56.888 y: -16.4012
x: 57.8759 y: -16.5564
x: 58.8635 y: -16.7136
x: 59.8507 y: -16.8726
x: 60.8377 y: -17.0336
x: 61.8244 y: -17.1964
x: 62.8107 y: -17.3611
x: 63.7967 y: -17.5278
x: 64.7824 y: -17.6963
x: 65.7678 y: -17.8667
x: 66.7528 y: -18.0391
x: 67.7379 y: -18.2111
x: 68.7242 y: -18.3759
x: 69.7117 y: -18.5334
x: 70.7004 y: -18.6836
x: 71.6902 y: -18.8264
x: 72.6809 y: -18.9618
x: 73.6727 y: -19.0899
x: 74.6654 y: -19.2107
x: 75.6589 y: -19.324
x: 76.6542 y: -19.2764
x: 77.6391 y: -19.1052
x: 78.6046 y: -18.8461
x: 79.5428 y: -18.5011
x: 80.4462 y: -18.0731
x: 81.3074 y: -17.5655
x: 82.1195 y: -16.9824
x: 82.931 y: -16.4004
x: 83.6886 y: -15.7492
x: 84.3398 y: -14.9915
x: 84.87 y: -14.1448
x: 85.267 y: -13.228
x: 85.522 y: -12.262
x: 85.6291 y: -11.2687
x: 85.5868 y: -10.2705
x: 85.4875 y: -9.27545
x: 85.3926 y: -8.27997
x: 85.3021 y: -7.28407
x: 85.216 y: -6.28779
x: 85.1343 y: -5.29113
x: 85.0569 y: -4.29413
x: 84.984 y: -3.29679
x: 84.9154 y: -2.29915
x: 84.8513 y: -1.30121
x: 84.7915 y: -0.302996
x: 84.7361 y: 0.695469
x: 84.6851 y: 1.69417
x: 84.6386 y: 2.69308
x: 84.5964 y: 3.69219
x: 84.5126 y: 4.68803
x: 84.4035 y: 5.68207
x: 84.2982 y: 6.67651
x: 84.1966 y: 7.67133
x: 84.0986 y: 8.66652
x: 84.0044 y: 9.66208
x: 83.9139 y: 10.658
x: 83.8271 y: 11.6542
x: 83.7441 y: 12.6507
x: 83.6647 y: 13.6476
x: 83.5891 y: 14.6447
x: 83.5171 y: 15.6421
x: 83.5188 y: 16.6415
x: 83.4687 y: 17.6401
x: 83.3486 y: 18.6326
x: 83.1593 y: 19.6143
x: 82.9016 y: 20.5803
x: 82.5748 y: 21.5251
x: 82.1278 y: 22.4187
x: 81.5551 y: 23.2373
x: 80.8689 y: 23.9635
x: 80.0702 y: 24.5583
x: 79.1564 y: 24.9639
x: 78.2169 y: 25.306
x: 77.2562 y: 25.583
x: 76.2789 y: 25.7937
x: 75.2894 y: 25.9369
x: 74.2925 y: 26.0143
x: 73.2955 y: 26.091
x: 72.3001 y: 26.1871
x: 71.3069 y: 26.3028
x: 70.3161 y: 26.438
x: 69.3281 y: 26.5925
x: 68.3434 y: 26.7665
x: 67.3622 y: 26.9597
x: 66.3851 y: 27.1721
x: 65.4353 y: 27.4808
x: 64.4872 y: 27.7987
x: 63.5317 y: 28.0936
x: 62.5693 y: 28.3653
x: 61.6007 y: 28.6135
x: 60.6263 y: 28.8383
x: 59.6467 y: 29.0393
x: 58.6626 y: 29.2165
x: 57.6785 y: 29.3916
x: 56.6999 y: 29.5971
x: 55.7154 y: 29.7725
x: 54.7261 y: 29.9176
x: 53.7327 y: 30.0322
x: 52.7363 y: 30.1164
x: 51.7377 y: 30.1699
x: 50.738 y: 30.1927
x: 49.7381 y: 30.1849
x: 48.7389 y: 30.1464
x: 47.7413 y: 30.0773
x: 46.7457 y: 29.9836
x: 45.7501 y: 29.8906
x: 44.7542 y: 29.7997
x: 43.7582 y: 29.711
x: 42.7619 y: 29.6243
x: 41.7655 y: 29.5398
x: 40.7689 y: 29.4573
x: 39.7721 y: 29.377
x: 38.7752 y: 29.2988
x: 37.7781 y: 29.2228
x: 36.7808 y: 29.1488
x: 35.783 y: 29.0827
x: 34.7851 y: 29.0192
x: 33.7878 y: 28.9452
x: 32.7914 y: 28.8608
x: 31.7959 y: 28.7659
x: 30.8015 y: 28.6606
x: 29.8082 y: 28.5449
x: 28.8162 y: 28.4188
x: 27.8255 y: 28.2823
x: 26.8364 y: 28.1354
x: 25.8488 y: 27.9781
x: 24.8629 y: 27.8112
x: 23.878 y: 27.6382
x: 22.8945 y: 27.4569
x: 21.9127 y: 27.2673
x: 20.9325 y: 27.0694
x: 19.954 y: 26.8632
x: 18.9772 y: 26.6487
x: 18.0023 y: 26.4261
x: 17.0294 y: 26.1952
x: 16.0584 y: 25.9561
x: 15.0884 y: 25.7129
x: 14.1167 y: 25.4766
x: 13.1449 y: 25.2409
x: 12.1729 y: 25.0057
x: 11.2008 y: 24.7711
x: 10.2286 y: 24.5372
x: 9.25622 y: 24.3037
x: 8.2837 y: 24.0709
x: 7.31105 y: 23.8387
x: 6.32293 y: 23.6897
x: 5.35014 y: 23.4597
x: 4.40458 y: 23.1355
x: 3.49537 y: 22.7202
x: 2.63126 y: 22.2177
x: 1.82058 y: 21.6329
x: 1.07114 y: 20.9714
x: 0.390171 y: 20.2396
x: -0.215772 y: 19.4446
x: -0.740849 y: 18.594
x: -1.18 y: 17.6961
x: -1.52899 y: 16.7594
x: -1.78447 y: 15.793
x: -1.94509 y: 14.8063
x: -2.0342 y: 13.8105
x: -2.0577 y: 12.8109
x: -2.0155 y: 11.812
x: -1.90777 y: 10.818
x: -1.73499 y: 9.83324
x: -1.4979 y: 8.86194
x: -1.19622 y: 7.9087
x: -0.872315 y: 6.96262
x: -0.537445 y: 6.02036
x: -0.191651 y: 5.08205
x: 0.16502 y: 4.14783
x: 0.532519 y: 3.21781
x: 0.813611 y: 2.26611
x: 0.90543 y: 2.0153
GOODBYE MAP
