node_routing_core
Input Data length: 21736
x: 0y: 0s: 01
x: 0y: 0s: 02
x: 0.000967342y: 0.00110853s: -nan3
x: 0.000967342y: 0.00110853s: -nan4
x: 0.000967342y: 0.00110853s: -nan5
x: 0.000967342y: 0.00110853s: -nan6
x: 0.000967342y: 0.00110853s: -nan7
x: 0.000967342y: 0.00110853s: -nan8
x: 0.000967342y: 0.00110853s: -nan9
x: 0.000967342y: 0.00110853s: -nan10
x: 0.000967342y: 0.00110853s: -nan11
x: 0.000967342y: 0.00110853s: -nan12
x: 0.000967342y: 0.00110853s: -nan13
x: 0.000967342y: 0.00110853s: -nan14
x: 0.000967342y: 0.00110853s: -nan15
x: 0.000967342y: 0.00110853s: -nan16
x: 0.000967342y: 0.00110853s: -nan17
x: 0.0145101y: 0.0110853s: 0.018292118
x: 0.0154775y: 0.0110853s: -nan19
x: 0.0154775y: 0.0110853s: -nan20
x: 0.0154775y: 0.0110853s: -nan21
x: 0.0154775y: 0.0110853s: -nan22
x: 0.0154775y: 0.0121938s: -nan23
x: 0.0154775y: 0.0121938s: -nan24
x: 0.0154775y: 0.0121938s: -nan25
x: 0.0154775y: 0.0121938s: -nan26
x: 0.0154775y: 0.0121938s: -nan27
x: 0.0154775y: 0.0121938s: -nan28
x: 0.0154775y: 0.0121938s: -nan29
x: 0.0154775y: 0.0121938s: -nan30
x: 0.0154775y: 0.0121938s: -nan31
x: 0.0154775y: 0.0121938s: -nan32
x: 0.0154775y: 0.0121938s: -nan33
x: 0.0164448y: 0.0133023s: -nan34
x: 0.0164448y: 0.0133023s: -nan35
x: 0.0164448y: 0.0133023s: -nan36
x: 0.0164448y: 0.0133023s: -nan37
x: 0.0164448y: 0.0133023s: -nan38
x: 0.0164448y: 0.0144108s: -nan39
x: 0.0164448y: 0.0144108s: -nan40
x: 0.0164448y: 0.0144108s: -nan41
x: 0.0174122y: 0.0144108s: -nan42
x: 0.0174122y: 0.0144108s: -nan43
x: 0.0174122y: 0.0144108s: -nan44
x: 0.0174122y: 0.0155194s: -nan45
x: 0.0174122y: 0.0155194s: -nan46
x: 0.0174122y: 0.0155194s: -nan47
x: 0.0183795y: 0.0155194s: 0.02599148
x: 0.0183795y: 0.0166279s: -nan49
x: 0.0183795y: 0.0166279s: -nan50
x: 0.0183795y: 0.0166279s: -nan51
x: 0.0183795y: 0.0166279s: -nan52
x: 0.0193468y: 0.0166279s: 0.028066953
x: 0.0193468y: 0.0177364s: -nan54
x: 0.0193468y: 0.0177364s: -nan55
x: 0.0193468y: 0.0177364s: -nan56
x: 0.0193468y: 0.0177364s: -nan57
x: 0.0193468y: 0.0177364s: -nan58
x: 0.0193468y: 0.0177364s: -nan59
